Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
 104D, Drug Reaction, stop irritation, consult nearest hospital, stop taking drug, follow up,""
 109D, Malaria, Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out,""
 114D, Allergy, apply calamine, cover area with bandage, , use ice to compress itching,""
 119D, Hypothyroidism, reduce stress, exercise, eat healthy, get proper sleep,""
 124D, Psoriasis, wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths,""
 129D, GERD, avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise,""
 134D, Chronic cholestasis, cold baths, anti itch medicine, consult doctor, eat healthy,""
 139D, hepatitis A, Consult nearest hospital, wash hands through, avoid fatty spicy food, medication,""
 144D, Osteoarthristis, acetaminophen, consult nearest hospital, follow up, salt baths,""
 149D, (vertigo) Paroymsal  Positional Vertigo, lie down, avoid sudden change in body, avoid abrupt head movment, relax,""
 154D, Hypoglycemia, lie down on side, check in pulse, drink sugary drinks, consult doctor,""
 159D, Acne, bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products,""
 164D, Diabetes , have balanced diet, exercise, consult doctor, follow up,""
 169D, Impetigo, soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor,""
 174D, Hypertension , meditation, salt baths, reduce stress, get proper sleep,""
 179D, Peptic ulcer diseae, avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol,""
 184D, Dimorphic hemmorhoids(piles), avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice,""
 189D, Common Cold, drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check,""
 194D, Chicken pox, use neem in bathing , consume neem leaves, take vaccine, avoid public places,""
 199D, Cervical spondylosis, use heating pad or cold pack, exercise, take otc pain reliver, consult doctor,""
 204D, Hyperthyroidism, eat healthy, massage, use lemon balm, take radioactive iodine treatment,""
 209D, Urinary tract infection, drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics,""
 214D, Varicose veins, lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long,""
 219D, AIDS, avoid open cuts, wear ppe if possible, consult doctor, follow up,""
 224D, Paralysis (brain hemorrhage), massage, eat healthy, exercise, consult doctor,""
 229D, Typhoid, eat high calorie vegitables, antiboitic therapy, consult doctor, medication,""
 234D, Hepatitis B, consult nearest hospital, vaccination, eat healthy, medication,""
 239D, Fungal infection, bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths,""
 244D, Hepatitis C, Consult nearest hospital, vaccination, eat healthy, medication,""
 249D, Migraine, meditation, reduce stress, use poloroid glasses in sun, consult doctor,""
 254D, Bronchial Asthma, switch to loose cloothing, take deep breaths, get away from trigger, seek help,""
 259D, Alcoholic hepatitis, stop alcohol consumption, consult doctor, medication, follow up,""
 264D, Jaundice, drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication,""
 269D, Hepatitis E, stop alcohol consumption, rest, consult doctor, medication,""
 274D, Dengue, drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated,""
 279D, Hepatitis D, consult doctor, medication, eat healthy, follow up,""
 284D, Heart attack, call ambulance, chew or swallow asprin, keep calm, ,""
 289D, Pneumonia, consult doctor, medication, rest, follow up,""
 294D, Arthritis, exercise, use hot and cold therapy, try acupuncture, massage,""
 299D, Gastroenteritis, stop eating solid food for while, try taking small sips of water, rest, ease back into eating,""
 304D, Tuberculosis, cover mouth, consult doctor, medication, rest,""
